task_id,department,corridor_id,corridor_name,defect_type,failure_type,severity,days_overdue,estimated_repair_time_min,spatial_start_km,spatial_end_km,priority_score,criticality,risk_score,delay_minutes
TASK_00036,Engineering,CORR_018,Mumbai - Delhi Railway,Sleeper Crack,Track Defect,2,156,71,454.59,455.95,0.664,0.88,74.11656191836211,22.716804212789068
TASK_00037,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Panel Indication Fault,Signal Failure,2,180,53,2527.25,2528.84,0.694,0.98,52.81844252799049,6.514386193703621
TASK_00038,Traction Distribution,CORR_003,Bina - Katni railway,Brake Pad Wear,Brake Failure,3,180,110,426.12,427.9,0.653,0.51,44.57138904878202,11.903829781245546
TASK_00039,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Sleeper Crack,Track Defect,5,180,129,175.48,176.17,0.814,0.38,60.34931085892555,18.212191931804487
TASK_00040,Engineering,CORR_008,Howrah - Delhi Railway,Ballast Deficiency,Wheel Defect,3,0,88,2382.72,2383.64,0.585,0.95,46.75650769607935,3.851146523094088
TASK_00041,Engineering,CORR_004,Bolangir - Khurda,Ballast Deficiency,Track Defect,3,180,91,42.96,44.06,0.614,0.38,63.52344186402204,19.31324985403241
TASK_00042,Engineering,CORR_010,Katni - Obra railway,Sleeper Crack,Track Defect,2,134,90,75.28,76.78,0.55,0.5,63.40684683882759,18.591615069155573
TASK_00043,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,Bearing Overheating,Brake Failure,2,130,83,50.26,51.35,0.52,0.4,67.24492631222122,
TASK_00044,Traction Distribution,CORR_019,Mumbai-Pune Railway,Insulator Flashover,Brake Failure,3,6,134,130.24,131.1,0.529,0.63,44.85378306487578,3.9875886028869862
TASK_00045,Signal & Telecom,CORR_006,Eastern Dedicated Freight Corridor,Axle Counter Fault,Signal Failure,3,59,78,283.6,284.15,0.734,0.78,55.2490587251671,36.24686984301916
TASK_00046,Engineering,CORR_014,Line 1: Nagercoil - Chennai Egmore,Rail Fracture,Track Defect,3,155,100,122.02,123.78,0.614,0.38,58.69969101058581,32.22173032717266
TASK_00047,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Transformer Oil Leak,Brake Failure,4,135,127,3030.01,3031.14,0.894,0.98,57.49514355785311,13.265677337801376
TASK_00048,Traction Distribution,CORR_011,Kolkata Circular Railway,Pantograph Damage,Brake Failure,3,59,131,94.96,95.95,0.644,0.48,70.54160466076755,21.090662176844187
TASK_00049,Engineering,CORR_011,Kolkata Circular Railway,Loose Fastening,Wheel Defect,2,180,68,86.68,87.98,0.544,0.48,60.83449015903651,19.317859295585432
TASK_00050,Engineering,CORR_005,Delhi - Kalka Line,Ballast Deficiency,Track Defect,2,20,62,457.28,457.96,0.531,0.66,60.408677984526335,12.7834963772452
TASK_00051,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Pantograph Damage,Brake Failure,2,11,107,198.25,199.35,0.519,0.82,48.94193451610138,
TASK_00052,Signal & Telecom,CORR_017,Lumding - Silchar BG Line,Track Circuit Failure,Signal Failure,2,71,67,33.04,34.67,0.511,0.37,49.147401498544966,8.938813607416842
TASK_00053,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Transformer Oil Leak,Bearing Failure,2,180,97,72.57,74.17,0.646,0.82,52.86477769250973,12.000531379596168
TASK_00054,Traction Distribution,CORR_019,Mumbai-Pune Railway,Pantograph Damage,Brake Failure,2,72,85,28.38,30.04,0.589,0.63,51.95593036806188,7.5731602401289155
TASK_00055,Engineering,CORR_012,Konkan Railway,Rail Fracture,Track Defect,2,180,91,367.99,369.19,0.556,0.52,67.14220122380101,19.528061470006783
TASK_00056,Traction Distribution,CORR_019,Mumbai-Pune Railway,Brake Pad Wear,Brake Failure,4,99,134,43.49,44.54,0.789,0.63,64.59051264460822,16.1510838283184
TASK_00057,Traction Distribution,CORR_003,Bina - Katni railway,Brake Pad Wear,Brake Failure,3,180,120,477.5,479.25,0.653,0.51,59.98568239460466,6.573373864470335
TASK_00058,Traction Distribution,CORR_005,Delhi - Kalka Line,Pantograph Damage,Bearing Failure,2,180,102,400.64,401.4,0.598,0.66,59.51041779975593,14.12760889354356
TASK_00059,Engineering,CORR_002,Bhairabi Sairang Railway Link,Loose Fastening,Wheel Defect,4,180,117,35.8,37.39,0.711,0.37,53.839507742005,3.4852361295733187
TASK_00060,Engineering,CORR_007,Howrah - Chennai Main Line,Sleeper Crack,Track Defect,2,92,65,1940.27,1942.1,0.694,0.98,65.94973522131347,21.650971426556275
TASK_00061,Traction Distribution,CORR_008,Howrah - Delhi Railway,Insulator Flashover,Brake Failure,3,175,132,1667.99,1668.92,0.785,0.95,58.86300595757862,3.6881531204289
TASK_00062,Engineering,CORR_006,Eastern Dedicated Freight Corridor,Ballast Deficiency,Track Defect,2,180,65,718.99,719.79,0.634,0.78,54.47516308610992,7.396256751089607
TASK_00063,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Fracture,Wheel Defect,3,180,87,2335.92,2337.19,0.764,0.88,56.14936511094383,10.764210094562925
TASK_00064,Engineering,CORR_007,Howrah - Chennai Main Line,Ballast Deficiency,Wheel Defect,5,180,126,33.33,34.15,0.994,0.98,58.7426968906684,2.8889534218042234
TASK_00065,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Brake Pad Wear,Brake Failure,2,180,107,187.36,189.17,0.694,0.98,64.38760017038716,4.502573397871808
TASK_00066,Engineering,CORR_011,Kolkata Circular Railway,Track Geometry Deviation,Wheel Defect,2,42,90,64.28,65.15,0.544,0.48,46.2890703419481,22.53645523609099
TASK_00067,Signal & Telecom,CORR_004,Bolangir - Khurda,Signal Relay Fault,Signal Failure,4,176,85,73.11,74.08,0.714,0.38,56.083443735568736,11.965815862405984
TASK_00068,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Transformer Oil Leak,Bearing Failure,2,180,100,1040.02,1041.85,0.664,0.88,55.791113108615214,17.044767792340075
TASK_00069,Engineering,CORR_003,Bina - Katni railway,Ballast Deficiency,Track Defect,3,164,80,719.64,720.45,0.653,0.51,65.86018761525034,10.252877863739036
TASK_00070,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Axle Counter Fault,Signal Failure,4,180,74,1476.39,1478.22,0.846,0.82,59.01299758301403,4.047768353871439
TASK_00071,Traction Distribution,CORR_017,Lumding - Silchar BG Line,Bearing Overheating,Bearing Failure,4,180,128,142.24,143.05,0.711,0.37,61.23789126320895,6.878188663803055
TASK_00072,Engineering,CORR_005,Delhi - Kalka Line,Loose Fastening,Track Defect,3,159,108,213.52,215.39,0.698,0.66,63.22597950235221,16.17518600351362
TASK_00073,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,Pantograph Damage,Brake Failure,2,0,108,23.12,24.1,0.32,0.4,49.70086560372476,15.061994624589069
TASK_00074,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Pantograph Damage,Bearing Failure,2,63,97,1956.56,1957.43,0.664,0.88,66.87632007678151,30.900182078474963
TASK_00075,Signal & Telecom,CORR_016,Lucknow–Moradabad line,Point Machine Failure,Signal Failure,3,103,69,451.6,452.82,0.695,0.65,50.02874339451522,34.397898455287
TASK_00076,Traction Distribution,CORR_016,Lucknow–Moradabad line,OHE Wire Sag,Brake Failure,2,172,111,307.51,308.56,0.595,0.65,74.54811684304356,4.154399894188565
TASK_00077,Engineering,CORR_017,Lumding - Silchar BG Line,Loose Fastening,Track Defect,4,180,104,145.24,146.04,0.711,0.37,56.79277323795666,7.161912150097742
TASK_00078,Traction Distribution,CORR_003,Bina - Katni railway,Pantograph Damage,Brake Failure,3,17,107,697.63,698.64,0.566,0.51,61.03228562618851,12.66375978351607
TASK_00079,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Point Machine Failure,Signal Failure,3,180,81,1649.89,1651.46,0.794,0.98,49.42643735586046,9.727709809194726
TASK_00080,Traction Distribution,CORR_004,Bolangir - Khurda,Brake Pad Wear,Brake Failure,2,43,88,49.25,51.0,0.514,0.38,53.26997284060046,6.838986849642175
TASK_00081,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Wear,Track Defect,2,166,63,1317.41,1319.14,0.664,0.88,50.10918645222985,15.855759849429774
TASK_00082,Signal & Telecom,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Signal Relay Fault,Signal Failure,2,108,65,102.74,104.38,0.511,0.37,51.96128343826897,17.323341509764123
TASK_00083,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Panel Indication Fault,Signal Failure,2,180,52,1026.06,1026.57,0.694,0.98,67.9838556972466,30.99608529251773
TASK_00084,Engineering,CORR_002,Bhairabi Sairang Railway Link,Ballast Deficiency,Track Defect,3,69,93,34.26,35.4,0.611,0.37,56.24306097832432,12.944791825589752
TASK_00085,Engineering,CORR_007,Howrah - Chennai Main Line,Loose Fastening,Track Defect,2,109,69,2430.88,2431.63,0.694,0.98,60.9835174065935,15.978542533574997
TASK_00086,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Transformer Oil Leak,Brake Failure,2,120,84,749.35,749.96,0.694,0.98,72.78458569421619,9.062254082794473
TASK_00087,Engineering,CORR_016,Lucknow–Moradabad line,Sleeper Crack,Track Defect,4,39,101,329.07,330.67,0.795,0.65,45.19376622280975,9.901591487628563
TASK_00088,Engineering,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Loose Fastening,Track Defect,2,180,88,32.66,34.35,0.511,0.37,58.31569618550813,12.345127366311177
TASK_00089,Engineering,CORR_019,Mumbai-Pune Railway,Ballast Deficiency,Track Defect,3,81,81,167.23,168.95,0.689,0.63,53.08742504124783,17.57745612578734
TASK_00090,Engineering,CORR_009,Kashmir Railway,Rail Fracture,Wheel Defect,3,1,107,106.58,108.42,0.418,0.37,61.26895804457662,12.880227403936145
TASK_00091,Traction Distribution,CORR_004,Bolangir - Khurda,Pantograph Damage,Brake Failure,2,180,98,182.76,184.15,0.514,0.38,48.273369980403785,3.971222486064924
TASK_00092,Signal & Telecom,CORR_016,Lucknow–Moradabad line,Panel Indication Fault,Signal Failure,4,180,88,111.66,113.66,0.795,0.65,56.67278376539228,8.382852132343912
TASK_00093,Traction Distribution,CORR_016,Lucknow–Moradabad line,OHE Wire Sag,Brake Failure,2,180,91,19.33,20.56,0.595,0.65,56.39161098991706,17.746639295713713
TASK_00094,Engineering,CORR_012,Konkan Railway,Sleeper Crack,Track Defect,2,180,73,342.74,344.57,0.556,0.52,59.98324326036164,23.85746717311708
TASK_00095,Signal & Telecom,CORR_017,Lumding - Silchar BG Line,Track Circuit Failure,Signal Failure,3,74,83,62.7,63.37,0.611,0.37,57.69230152448828,11.66445068080507
TASK_00096,Engineering,CORR_010,Katni - Obra railway,Loose Fastening,Wheel Defect,3,9,102,112.14,112.86,0.51,0.5,57.3499211981147,12.875453759933604
TASK_00097,Traction Distribution,CORR_011,Kolkata Circular Railway,Insulator Flashover,Bearing Failure,3,149,114,11.99,13.38,0.644,0.48,73.49888731633857,15.795156666876078
TASK_00098,Signal & Telecom,CORR_008,Howrah - Delhi Railway,Cable Cut,Signal Failure,3,180,65,1772.2,1772.89,0.785,0.95,59.51654471025639,18.59251762351464
TASK_00099,Engineering,CORR_001,Abhayapuri - Mainguri Railway Line,Loose Fastening,Track Defect,3,180,109,14.49,15.1,0.62,0.4,63.388564638080766,18.24780192835342
TASK_00100,Engineering,CORR_003,Bina - Katni railway,Track Geometry Deviation,Wheel Defect,3,146,104,408.69,409.48,0.653,0.51,63.0831359859046,7.023611554092297
TASK_00101,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,OHE Wire Sag,Brake Failure,4,180,139,70.19,71.87,0.72,0.4,57.47905408655739,15.6450099396858
TASK_00102,Engineering,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Sleeper Crack,Track Defect,5,180,122,55.56,57.45,0.811,0.37,50.58423242724847,1.7345493346892855
TASK_00103,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Transformer Oil Leak,Bearing Failure,2,82,95,3165.47,3166.47,0.694,0.98,61.65559709683368,3.9199310998212775
TASK_00104,Traction Distribution,CORR_010,Katni - Obra railway,Bearing Overheating,Brake Failure,2,180,103,97.07,99.03,0.55,0.5,60.58042009662759,22.600426338638965
TASK_00105,Signal & Telecom,CORR_019,Mumbai-Pune Railway,Track Circuit Failure,Signal Failure,2,25,53,96.7,98.41,0.556,0.63,50.1926587374754,4.557627557508008
TASK_00106,Traction Distribution,CORR_006,Eastern Dedicated Freight Corridor,Brake Pad Wear,Brake Failure,2,180,86,279.42,280.26,0.634,0.78,51.98977247920156,10.727025037535576
TASK_00107,Signal & Telecom,CORR_008,Howrah - Delhi Railway,Point Machine Failure,Signal Failure,2,159,44,3005.36,3006.74,0.685,0.95,60.3616882700153,8.426308200575754
TASK_00108,Traction Distribution,CORR_016,Lucknow–Moradabad line,OHE Wire Sag,Bearing Failure,2,113,88,521.32,523.29,0.595,0.65,64.90605602615061,10.10218939172777
TASK_00109,Engineering,CORR_006,Eastern Dedicated Freight Corridor,Rail Wear,Track Defect,5,180,133,684.88,686.65,0.934,0.78,49.30376738068894,11.872881262590385
TASK_00110,Traction Distribution,CORR_003,Bina - Katni railway,Insulator Flashover,Bearing Failure,2,180,87,220.5,221.55,0.553,0.51,58.7699833097667,34.965059002746926
TASK_00111,Engineering,CORR_007,Howrah - Chennai Main Line,Track Geometry Deviation,Track Defect,3,63,93,978.39,979.35,0.794,0.98,49.76442303119608,26.15158067407594
TASK_00112,Traction Distribution,CORR_005,Delhi - Kalka Line,Brake Pad Wear,Brake Failure,3,180,107,498.06,499.79,0.698,0.66,63.0705460340462,10.142867551742146
TASK_00113,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Panel Indication Fault,Signal Failure,4,180,72,1299.84,1301.16,0.846,0.82,62.36974997905105,11.650950286200732
TASK_00114,Signal & Telecom,CORR_018,Mumbai - Delhi Railway,Point Machine Failure,Signal Failure,5,32,94,2243.43,2244.18,0.964,0.88,64.1987027615137,31.51789379869612
TASK_00115,Engineering,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Track Geometry Deviation,Wheel Defect,3,37,108,12.2,13.19,0.611,0.37,53.02839780018997,15.330627996755783
TASK_00116,Traction Distribution,CORR_018,Mumbai - Delhi Railway,OHE Wire Sag,Brake Failure,3,133,104,1212.74,1214.23,0.764,0.88,62.5551960986228,9.881560986961627
TASK_00117,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Fracture,Wheel Defect,2,180,75,1722.65,1723.38,0.664,0.88,54.91803520594121,55.12590399373504
TASK_00118,Engineering,CORR_005,Delhi - Kalka Line,Rail Wear,Track Defect,2,180,67,519.7,521.25,0.598,0.66,52.96781605665835,
TASK_00119,Engineering,CORR_019,Mumbai-Pune Railway,Track Geometry Deviation,Wheel Defect,3,152,108,74.79,76.35,0.689,0.63,56.74954426599045,11.918446215352873
TASK_00120,Traction Distribution,CORR_011,Kolkata Circular Railway,Bearing Overheating,Bearing Failure,4,146,149,40.86,41.77,0.744,0.48,58.47686259269895,7.942839689216112
TASK_00121,Engineering,CORR_018,Mumbai - Delhi Railway,Loose Fastening,Wheel Defect,3,0,106,2325.9,2327.0,0.564,0.88,63.721997921921215,17.191682834023126
TASK_00122,Traction Distribution,CORR_019,Mumbai-Pune Railway,Pantograph Damage,Brake Failure,2,180,98,9.31,11.21,0.589,0.63,65.36852865935967,6.354605528319563
TASK_00123,Engineering,CORR_007,Howrah - Chennai Main Line,Track Geometry Deviation,Wheel Defect,2,84,88,1679.92,1681.54,0.694,0.98,52.461814901123226,3.346180881943995
TASK_00124,Traction Distribution,CORR_003,Bina - Katni railway,Brake Pad Wear,Brake Failure,2,1,98,330.76,332.44,0.36,0.51,38.88169961561293,12.127527977844526
TASK_00125,Engineering,CORR_006,Eastern Dedicated Freight Corridor,Sleeper Crack,Wheel Defect,2,163,84,250.08,251.35,0.634,0.78,56.31723163446557,8.340535203692408
TASK_00126,Traction Distribution,CORR_008,Howrah - Delhi Railway,Pantograph Damage,Bearing Failure,4,0,137,1355.14,1355.96,0.685,0.95,62.12768659426303,13.75448668195156
TASK_00127,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Fracture,Wheel Defect,3,16,107,1840.92,1842.31,0.671,0.88,51.087716706335954,31.603204849242665
TASK_00128,Signal & Telecom,CORR_018,Mumbai - Delhi Railway,Panel Indication Fault,Signal Failure,2,136,64,934.65,936.31,0.664,0.88,50.79216472270226,7.431805832768882
TASK_00129,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,Transformer Oil Leak,Brake Failure,4,180,133,29.89,30.4,0.72,0.4,62.693473365392606,30.25492510237754
TASK_00130,Signal & Telecom,CORR_010,Katni - Obra railway,Panel Indication Fault,Signal Failure,5,0,96,487.86,488.53,0.65,0.5,43.21500077287478,6.776387549894979
TASK_00131,Engineering,CORR_008,Howrah - Delhi Railway,Track Geometry Deviation,Track Defect,5,180,124,3392.44,3393.65,0.985,0.95,62.46761127451002,6.521251546692948
TASK_00132,Engineering,CORR_006,Eastern Dedicated Freight Corridor,Rail Fracture,Wheel Defect,4,180,106,1334.41,1335.57,0.834,0.78,56.94492938726928,27.436204430147253
TASK_00133,Engineering,CORR_004,Bolangir - Khurda,Sleeper Crack,Wheel Defect,3,35,88,187.2,189.17,0.614,0.38,64.0028716182896,4.335456435976553
TASK_00134,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Track Circuit Failure,Signal Failure,3,180,85,3290.87,3291.51,0.794,0.98,53.23012278629326,17.701148795592577
TASK_00135,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Brake Pad Wear,Brake Failure,2,180,106,1527.13,1528.12,0.646,0.82,56.12607564005893,
TASK_00136,Engineering,CORR_007,Howrah - Chennai Main Line,Rail Wear,Track Defect,3,180,86,3433.98,3435.7,0.794,0.98,53.71050924125549,64.59674185562136
TASK_00137,Traction Distribution,CORR_011,Kolkata Circular Railway,Pantograph Damage,Bearing Failure,2,180,106,97.53,98.95,0.544,0.48,60.47418423546271,3.9272320617822793
TASK_00138,Traction Distribution,CORR_015,Line 2: Chennai Egmore - Nagercoil,Transformer Oil Leak,Brake Failure,3,180,125,121.97,123.31,0.614,0.38,56.98137246364528,36.2810202251245
TASK_00139,Engineering,CORR_008,Howrah - Delhi Railway,Ballast Deficiency,Track Defect,3,180,88,2378.99,2380.6,0.785,0.95,55.86923203603424,23.246517468679265
TASK_00140,Engineering,CORR_020,Western Dedicated Freight Corridor,Rail Wear,Track Defect,2,180,72,1714.38,1714.94,0.646,0.82,56.57294259191243,21.50013558377648
TASK_00141,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Bearing Overheating,Brake Failure,3,180,105,1300.92,1302.84,0.746,0.82,47.790090549774085,18.698847751292
TASK_00142,Traction Distribution,CORR_006,Eastern Dedicated Freight Corridor,Transformer Oil Leak,Brake Failure,3,180,131,1303.34,1304.13,0.734,0.78,51.44027149869147,2.8794695347696693
TASK_00143,Traction Distribution,CORR_010,Katni - Obra railway,Insulator Flashover,Bearing Failure,3,180,121,134.78,135.4,0.65,0.5,65.20735318206552,31.29863971876429
TASK_00144,Traction Distribution,CORR_007,Howrah - Chennai Main Line,OHE Wire Sag,Brake Failure,3,57,134,3196.82,3197.83,0.794,0.98,53.70099447227556,24.47331264915884
TASK_00145,Engineering,CORR_007,Howrah - Chennai Main Line,Loose Fastening,Track Defect,3,2,101,1566.49,1568.04,0.607,0.98,69.88428611744389,16.874094411395404
TASK_00146,Traction Distribution,CORR_002,Bhairabi Sairang Railway Link,Brake Pad Wear,Brake Failure,2,36,84,8.94,9.79,0.511,0.37,65.38912257824495,5.751415905621946
TASK_00147,Traction Distribution,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Brake Pad Wear,Brake Failure,3,127,121,83.04,83.61,0.611,0.37,57.903637874001184,20.170587512632007
TASK_00148,Traction Distribution,CORR_010,Katni - Obra railway,Bearing Overheating,Brake Failure,3,180,119,222.37,222.96,0.65,0.5,52.36699579987259,14.76569730663692
TASK_00149,Traction Distribution,CORR_002,Bhairabi Sairang Railway Link,Insulator Flashover,Brake Failure,2,180,89,10.21,11.09,0.511,0.37,64.19489214874228,5.847530260165047
TASK_00150,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Panel Indication Fault,Signal Failure,2,37,65,897.59,898.29,0.694,0.98,70.07299880266216,12.277435052063405
TASK_00151,Engineering,CORR_019,Mumbai-Pune Railway,Track Geometry Deviation,Track Defect,3,22,87,6.84,7.9,0.636,0.63,67.12198154535682,17.877334354220988
TASK_00152,Signal & Telecom,CORR_006,Eastern Dedicated Freight Corridor,Panel Indication Fault,Signal Failure,2,180,48,155.17,155.93,0.634,0.78,54.87260311414761,
TASK_00153,Engineering,CORR_004,Bolangir - Khurda,Rail Wear,Track Defect,3,180,104,131.08,132.1,0.614,0.38,70.3626712294944,12.873795551196649
TASK_00154,Engineering,CORR_010,Katni - Obra railway,Ballast Deficiency,Wheel Defect,2,180,86,540.48,541.65,0.55,0.5,61.05082793927646,28.736028849502517
TASK_00155,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Pantograph Damage,Brake Failure,2,123,83,854.31,855.92,0.646,0.82,58.40749585610075,19.681848647138555
TASK_00156,Traction Distribution,CORR_006,Eastern Dedicated Freight Corridor,Bearing Overheating,Brake Failure,3,180,119,1071.94,1072.78,0.734,0.78,61.50786791938283,7.569017233043451
